CMDLINE /Library/Frameworks/Python.framework/Versions/3.11/bin/python3.11 server.py
MEM 32.691406 1692430335.2694
MEM 32.691406 1692430335.3739
MEM 32.691406 1692430335.4773
MEM 32.691406 1692430335.5780
MEM 32.691406 1692430335.6818
MEM 32.691406 1692430335.7858
MEM 32.691406 1692430335.8911
MEM 32.691406 1692430335.9944
MEM 32.691406 1692430336.0957
MEM 32.691406 1692430336.2010
MEM 32.691406 1692430336.3064
MEM 32.691406 1692430336.4118
MEM 32.691406 1692430336.5172
MEM 32.691406 1692430336.6205
MEM 32.691406 1692430336.7258
MEM 32.691406 1692430336.8282
MEM 32.691406 1692430336.9336
MEM 32.691406 1692430337.0340
MEM 32.691406 1692430337.1353
MEM 32.691406 1692430337.2400
MEM 32.691406 1692430337.3454
MEM 32.691406 1692430337.4491
MEM 32.691406 1692430337.5527
MEM 32.691406 1692430337.6579
MEM 32.691406 1692430337.7633
MEM 32.691406 1692430337.8676
MEM 32.691406 1692430337.9711
MEM 32.691406 1692430338.0748
MEM 32.691406 1692430338.1761
MEM 32.691406 1692430338.2780
MEM 32.691406 1692430338.3822
MEM 32.691406 1692430338.4862
MEM 32.691406 1692430338.5913
MEM 32.691406 1692430338.6939
MEM 32.691406 1692430338.7947
MEM 32.691406 1692430338.8991
MEM 32.691406 1692430339.0008
MEM 32.691406 1692430339.1014
MEM 32.691406 1692430339.2028
MEM 32.691406 1692430339.3081
MEM 32.691406 1692430339.4086
MEM 32.691406 1692430339.5124
MEM 32.691406 1692430339.6173
MEM 32.691406 1692430339.7217
MEM 32.691406 1692430339.8254
MEM 32.691406 1692430339.9278
MEM 32.691406 1692430340.0318
MEM 32.691406 1692430340.1372
MEM 32.691406 1692430340.2407
MEM 32.691406 1692430340.3452
MEM 32.691406 1692430340.4496
MEM 32.691406 1692430340.5528
MEM 32.691406 1692430340.6574
MEM 32.691406 1692430340.7579
MEM 32.691406 1692430340.8606
MEM 32.691406 1692430340.9646
MEM 32.691406 1692430341.0664
MEM 32.691406 1692430341.1703
MEM 32.691406 1692430341.2709
MEM 32.691406 1692430341.3752
MEM 32.691406 1692430341.4794
MEM 32.691406 1692430341.5839
MEM 32.691406 1692430341.6864
MEM 32.691406 1692430341.7900
MEM 32.691406 1692430341.8902
